id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
8165,2020-05-29 12:55:33,乌干达,317,0,69,0,0,,36.0,0.0,0.0,0.0,0.0,36.0,
8166,2020-05-29 13:02:37,厄立特里亚,39,0,39,0,0,,0.0,,0.0,0.0,,0.0,
95983,2020-05-29 07:19:49,刚果（布）,571,0,161,19,0,,,,,,,,
8162,2020-05-29 07:25:35,津巴布韦,149,0,28,4,0,,17.0,0.0,3.0,0.0,0.0,14.0,
956475,2020-05-29 20:19:39,丹麦,11680,0,10304,568,0,,168.0,0.0,124.0,0.0,0.0,44.0,
81344,2020-05-29 14:00:17,阿鲁巴,101,0,98,3,0,,0.0,0.0,1.0,0.0,0.0,-1.0,
95776,2020-05-28 11:38:11,斐济,18,0,15,0,0,,,,,,,,
8172,2020-05-28 11:43:58,伯利兹,18,0,16,2,0,,,,,,,,
8173,2020-05-28 11:44:18,缅甸,206,0,126,6,0,,,0.0,,,0.0,,
9568067,2020-05-29 12:43:07,塞浦路斯,941,0,784,17,0,,2.0,0.0,190.0,0.0,0.0,-188.0,
81134,2020-05-28 18:08:07,关岛,170,0,143,5,0,,,0.0,,,0.0,,
888779,2020-05-28 11:46:14,科索沃,1047,0,791,30,0,,,0.0,,,0.0,,
95860612,2020-05-29 13:06:45,圣皮埃尔岛和密克隆岛,1,0,1,0,0,,0.0,,0.0,0.0,,0.0,
95251456,2020-05-29 20:27:00,吉尔吉斯斯坦,1662,0,1088,16,0,,68.0,0.0,22.0,0.0,0.0,46.0,
8197,2020-05-28 11:51:44,博茨瓦纳,35,0,20,1,0,,,0.0,,,0.0,,
95309,2020-05-29 12:42:29,尼日尔,955,0,803,64,0,,3.0,0.0,7.0,1.0,0.0,-5.0,
95305,2020-05-28 11:32:52,苏里南,12,0,9,1,0,,,0.0,,,0.0,,
95306,2020-05-28 11:41:12,佛得角,390,0,155,4,0,,,0.0,,,0.0,,
95786,2020-05-29 11:53:48,萨尔瓦多,2194,0,1002,39,0,,85.0,0.0,129.0,2.0,0.0,-46.0,
95303,2020-05-29 13:00:11,圭亚那,150,0,67,11,0,,11.0,0.0,0.0,0.0,0.0,11.0,
95787,2020-05-29 13:52:47,尼加拉瓜,759,0,379,35,0,,,,,,,,
95783,2020-05-28 11:36:52,冈比亚,25,0,19,1,0,,,0.0,,,0.0,,
9523416782,2020-05-29 13:03:50,东帝汶,24,0,24,0,0,,0.0,,0.0,0.0,,0.0,
950777,2020-05-29 20:11:24,巴基斯坦,64028,0,22305,1317,0,,2801.0,0.0,2074.0,57.0,0.0,670.0,
9577890,2020-05-29 07:14:30,埃及,20793,0,5359,845,0,,1127.0,0.0,154.0,29.0,0.0,944.0,
9577665,2020-05-29 11:33:05,科威特,24112,0,8698,185,0,,845.0,0.0,752.0,10.0,0.0,83.0,
95903,2020-05-29 12:36:52,斯洛伐克,1520,0,1332,28,0,,5.0,0.0,5.0,0.0,0.0,0.0,
95904,2020-05-29 12:59:52,直布罗陀,158,0,147,0,0,,1.0,0.0,0.0,0.0,0.0,1.0,
959333,2020-05-28 10:36:43,摩纳哥,98,0,90,4,0,,,,,,,,
9509765,2020-05-29 12:43:39,巴拉圭,900,0,402,11,0,,16.0,0.0,10.0,0.0,0.0,6.0,
856671,2020-05-28 11:48:33,荷属安的列斯,18,0,14,1,0,,,,,,,,
95711,2020-05-29 13:04:43,多米尼克,16,0,16,0,0,,0.0,,0.0,0.0,,0.0,
95703,2020-05-29 20:24:04,乌兹别克斯坦,3463,0,2694,14,0,,19.0,0.0,0.0,0.0,0.0,19.0,
95293,2020-05-28 11:36:33,黑山,324,0,315,9,0,,,,,,,,
